submission_id,experience_years,python_skill_level
93198448-62d9-4633-bdc6-661d2c487117,20,expert
fc1197e9-1749-4a86-abba-a04c9125ca2b,7,intermediate
e6507827-d0f9-4a3a-bdeb-efc0a0515b9d,5,intermediate
3e44c9e2-543b-4a7f-babc-4bf73fd8db05,5,intermediate
4525bb5c-7448-412d-8ba6-6a24c7b12651,8,intermediate
750ecd3e-27dc-4eda-a694-a1dbc82cc169,4,beginner
7445f6a9-5832-48e7-b561-b520d8a771b4,7,intermediate
e168e75c-9c22-4953-80d1-62d829d5d1e8,8,intermediate
56316520-c687-450e-8811-9dd9c8668e65,6,intermediate
2e034569-6fd4-40c7-8e6f-d703530a29ea,7,intermediate
b28f8f60-8299-4cf1-b7b2-87a0e911a0d0,11,intermediate
a71dbd86-1384-4874-8eca-8ac2498bd497,2,beginner
79061346-bfb1-4a68-883c-8c57abd68b69,6,intermediate
